Sensor,R2_Test,Outdoor PC(0.3),410nm,Outdoor Wind Direction,Outdoor Humidity,705nm,585nm,Outdoor PC(1.0),Outdoor Temperature,Outdoor Dew Point,Outdoor PC(0.5),645nm,SolarZenithAngle,Outdoor PM(5.0),Outdoor PC(0.1),Outdoor Pressure,Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(2.5),Outdoor PM(1.0),560nm,Outdoor PM(0.5)
ind01,0.862777019004216,0.06126605964820202,0.04585841210259563,0.08754623757874261,0.1391260507681317,0.1164795971454157,0.5529789287085295,0.35095831664502253,0.315340000458384,0.681794944742304,0.6130966255295361,,,,,,,,,,,,
ind02,0.966951636060386,,,,,,0.03173436284425042,0.4261164626483785,0.07361489126562468,0.023195484779677856,0.7876942306962803,0.04854388402227043,0.02299683709137117,0.03831242635238861,0.026956231878491277,0.03638832906453191,,,,,,,
ind03,0.9679904028728075,,,,,,0.030650140100754487,0.40058109548096743,0.0682741386501841,0.020532687657081806,0.7031077729897938,0.03875234661888845,0.02131167235477114,,0.022004437049642788,0.023568540531740935,0.0136768547036769,,,,,,
ind04,0.968329327008462,,,,,,0.04386389963808539,0.3712836786174748,0.047639534195900654,0.02514095822220519,1.1318694302880687,0.06225180021402295,0.015028262241329915,,0.028875555216804648,0.022953807643413725,,0.010746116164737774,,,,,
ind06,0.9819886050285693,,,,,,0.02633937389110359,0.2983628692130543,0.03702694666521287,0.05953842887012835,0.2472659742097784,0.04201356851021234,,0.015007873866915577,,0.0180435035511729,,,0.011443976978446258,0.2647729503917578,,,
ind07,0.9731887321690327,,,,,,0.03876036192770642,0.3297923541799216,0.045724235290514906,0.025762765127367037,0.7486808373515463,,0.01695850100307199,0.021208714748853063,0.024028135890479384,0.02946483094633503,,,,0.01091177259559084,,,
ind08,0.9742917544164708,,,,,,0.02160383191432915,0.38137417944594554,0.0318185272420217,0.03470531361018001,0.512510283843198,,,0.017310691712613235,0.020047069245204475,0.022520410921624955,,,,0.10794444733585078,0.022689415622137842,,
ind09,0.9337565711670527,,,,,,0.055372780373709164,0.5114960217781158,0.12607263804044624,0.046294167235093185,0.5612545430325795,0.043990829940575814,,0.07504912286534574,0.06429445957165833,0.042822231604631146,0.024506265831866193,,,,,,
ind10,0.9522697482718371,,,,,,,0.8212778668838373,0.08146385163127308,0.0252872176383381,0.3249778496194553,,0.021489726425504972,0.03172524799915324,0.09414228767873607,0.040862256039553735,0.011998658077147551,,,0.022377180521575092,,,
ind11,0.9475373428939781,,,,0.03724113348163549,0.05380355637502965,0.3495334596234776,0.3731656574791037,0.24388148467339282,0.224325211436431,0.6755493481117125,0.13244950346112577,,,,,0.057732145001041554,,,,,0.042300235028887315,
ind12,0.9523055396681902,,,0.029236680253740998,0.04269275600272049,0.06268274471361952,0.17847437167210406,0.4800624344726844,0.08515242677910946,0.11890563814222935,0.5845433182858434,,,,0.08095800492562924,,,,,0.06819765172644854,,,
ind13,0.9577575783316261,,,,0.03201763787230862,0.11445541478021079,0.809904635099563,0.521415805210543,0.08161730938270315,0.07459539875047827,0.7090272961285133,0.1896634150464574,,,0.1418853892407976,,,,,,,,0.08066538584786184
ind14,0.9533235522090253,0.029397832964301807,,,,,0.04066665699177572,0.5904915965194786,0.108241570939141,0.03961655577672261,1.0699868156502494,,,,0.2354877967379035,0.04272783205687416,0.031842409412475806,,,0.04589579043064258,,,
ind15,0.9591083799031115,,,,0.03195257762258732,0.029728843473548806,0.564345777037514,0.4952570457975982,0.07622481914185816,0.041518665152904186,0.7004908401137194,0.25016536776540954,,,0.03868753907752955,,,,,0.041140745587720386,,,
ind16,0.9699294734800629,,,,,,0.0439306518620596,0.6018693151551808,0.046337955349983105,0.048114282315387016,0.3459832424912386,0.0458797205877252,,0.0525991702691682,0.032454630255498905,0.031880346100394585,,,,0.013051462442327489,,,
ind17,0.9475775804306016,,0.07439046261543296,,0.14352308442143108,0.5272715724152205,0.1370119727347107,0.3134719494262922,,,0.6694197146300803,,0.06672255488565737,,0.0673660986083368,0.06699781335317168,,,,,,0.3475295327022807,
ind18,0.9622267051321212,,,,,0.039520059801664086,0.3829588860692564,0.4823313450831762,0.08937199252889183,0.05394277998395591,0.5539995369884784,0.11410723179445999,,0.04783996265844026,0.045694095309990024,,,,,0.019050422891475204,,,
ind19,0.9678207933131262,,,,,,0.027019363341863813,0.3784905569004997,0.04036387100785625,0.037647412198229355,0.5183124437090157,0.03422592468853911,,0.1334232751246411,0.030275123104010815,0.02157284292627799,0.017655401589161835,,,,,,
ind20,0.9567845626370334,,,,,0.029068464338936485,0.17211755086971842,0.34790213669305325,0.10333166740997002,0.0796209869052131,0.9397233805093455,0.11570130703358232,,0.057425577816806815,0.05370438371613025,,0.03909351079398933,,,,,,
ind21,0.8980761487701633,,,0.13337818742575575,,0.2860378635073387,4.332242158266531,0.3847186879442779,0.561011924359351,2.0016269438546774,0.7404754650172084,0.6122114795797831,,,,,,,,,0.09828318427066292,,0.04229910838070385
